,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
21,102x102,10404,7344,2,2,72.0,72,83,(0.08924105809646674+0j),0.08924105809646674,24.10210466384888,8405
22,102x102,10404,6834,2,2,67.0,67,79,(0.09855895981789722+0j),0.09855895981789722,19.81480956077576,7271
23,102x102,10404,6324,2,2,62.0,62,74,(0.09819920270412036+0.020384759579891894j),0.1002926808638343,19.865941762924194,7628
24,102x102,10404,5814,2,2,57.0,57,69,(0.12847200786564122+0.038882201621004864j),0.13422698092382862,16.637845754623413,7156
25,102x102,10404,5304,2,2,52.0,52,64,(0.12455495074995977+0j),0.12455495074995977,12.88181734085083,6107
26,102x102,10404,4692,2,2,46.0,46,61,(0.12679746251612725+0.0043548497629079886j),0.1268722239774577,10.717101812362673,5664
27,102x102,10404,4182,2,2,41.0,41,55,(0.1529202274257142+0.03026990977280516j),0.1558873419928184,7.949083805084228,4648
28,102x102,10404,3672,2,2,36.0,36,50,(0.16038330234091394+0.01870975387469993j),0.16147092171604416,6.949267148971558,4637
29,102x102,10404,3162,3,2,31.0,31,46,(0.17307556493052106+0j),0.17307556493052106,5.493085145950317,4191
30,103x103,10609,8034,2,2,78.0,78,91,(0.08321116770513322+0j),0.08321116770513322,26.89035654067993,8669
31,103x103,10609,7519,2,2,73.0,73,85,(0.08714033066197133+0j),0.08714033066197133,24.17087960243225,8301
32,103x103,10609,6901,2,2,67.0,67,80,(0.0994125938427459+0.032713620277479066j),0.10465679512674678,18.85603904724121,7029
33,103x103,10609,6386,2,2,62.0,62,72,(0.10617496009434804+0.016514312724195977j),0.10745159224408422,16.148712873458862,6435
34,103x103,10609,5871,2,2,57.0,57,73,(0.10983329919174006+0.009217594952533454j),0.11021940694837393,15.67469835281372,6469
35,103x103,10609,5356,2,2,52.0,52,62,(0.11580140765336812+0.027707292334626116j),0.11906997968849233,13.094505548477173,5913
36,103x103,10609,4841,2,2,47.0,47,62,(0.13465811132011887+0.03142717185426072j),0.1382768023750143,11.010405540466309,5579
37,103x103,10609,4326,2,2,42.0,42,56,(0.1568434935829999+0j),0.1568434935829999,10.23156237602234,5850
38,103x103,10609,3811,2,2,37.0,37,52,(0.1614271771516458+0j),0.1614271771516458,8.04200005531311,5156
39,103x103,10609,3193,2,2,31.0,31,42,(0.17111600451471193+0.031600008228158956j),0.1740093317069479,5.404112815856934,4103
40,104x104,10816,8112,2,2,78.0,78,92,(0.08690549014906992+0j),0.08690549014906992,28.92084813117981,9197
41,104x104,10816,7592,2,2,73.0,73,82,(0.08580663126691601+0.006826002733606449j),0.08607771071941732,23.961621284484863,8085
42,104x104,10816,7072,2,2,68.0,68,80,(0.10110580158919964+0.013207142185876018j),0.10196475724343462,22.538583993911743,7768
43,104x104,10816,6552,2,2,63.0,63,77,(0.10097397799576016+0j),0.10097397799576016,19.924598693847656,7647
44,104x104,10816,6032,2,2,58.0,58,70,(0.12172273415376345+0j),0.12172273415376345,15.716564416885376,6592
45,104x104,10816,5512,2,2,53.0,53,65,(0.13225093808492502+0j),0.13225093808492502,12.562365770339966,5779
46,104x104,10816,4888,2,2,47.0,47,64,(0.1235567441773941+0.045128454478017714j),0.1315402844580037,10.956179141998293,5601
47,104x104,10816,4368,2,2,42.0,42,56,(0.14998424012401118+0j),0.14998424012401118,9.074408292770386,5163
48,104x104,10816,3848,2,2,37.0,37,54,(0.17649399924933398+0j),0.17649399924933398,6.486166715621948,4178
49,104x104,10816,3328,2,2,32.0,32,47,(0.17219370198904882+0j),0.17219370198904882,5.915524244308472,4329
50,105x105,11025,8295,2,2,79.0,79,87,(0.07787799556622468+0.02518061030409374j),0.08184769592786069,27.542742013931274,8623
51,105x105,11025,7770,2,2,74.0,74,84,(0.08923360101794912+0j),0.08923360101794912,24.286340713500977,8087
52,105x105,11025,7245,2,2,69.0,69,81,(0.10360255265105556+0j),0.10360255265105556,21.72435760498047,7727
53,105x105,11025,6615,2,2,63.0,63,77,(0.10074533979223543+0.03509617190697903j),0.10668347937884853,19.11816620826721,7095
54,105x105,11025,6090,2,2,58.0,58,70,(0.12297475693108223+0j),0.12297475693108223,16.098814010620117,6499
55,105x105,11025,5565,2,2,53.0,53,66,(0.11728928279054343+0j),0.11728928279054343,13.766832113265991,6225
56,105x105,11025,5040,2,2,48.0,48,63,(0.13366917467436082+0.016985761965812942j),0.13474406987947202,12.299073457717896,6125
57,105x105,11025,4410,2,2,42.0,42,55,(0.16606801704485094+0j),0.16606801704485094,9.268888473510742,5224
58,105x105,11025,3885,2,2,37.0,37,49,(0.14975976167385674+0j),0.14975976167385674,7.783855676651001,4895
59,105x105,11025,3360,3,2,32.0,32,44,(0.17387329118358366+0.0893561354560588j),0.1954902563573254,5.895190000534058,4251
60,106x106,11236,8480,2,2,80.0,80,88,(0.08718903828979316+0j),0.08718903828979316,31.99531364440918,9719
61,106x106,11236,7950,2,2,75.0,75,89,(0.08959685459873111+0j),0.08959685459873111,24.93797492980957,7730
62,106x106,11236,7314,2,2,69.0,69,78,(0.09708851876052911+0.012128504651291583j),0.0978431453919487,23.939457654953003,8405
63,106x106,11236,6784,2,2,64.0,64,80,(0.10263634656845227+0.009964219296632014j),0.10311888916736263,18.034067153930664,6809
64,106x106,11236,6254,2,2,59.0,59,73,(0.12613912583229528+0j),0.12613912583229528,17.849412441253662,7255
65,106x106,11236,5724,2,2,54.0,54,71,(0.11231525974604267+0j),0.11231525974604267,15.254690885543823,6732
66,106x106,11236,5088,2,2,48.0,48,59,(0.14697144257480232+0j),0.14697144257480232,11.49907612800598,5677
67,106x106,11236,4558,2,2,43.0,43,55,(0.1498841416784744+0j),0.1498841416784744,9.721663236618042,5326
68,106x106,11236,4028,2,2,38.0,38,51,(0.17558081012423615+0j),0.17558081012423615,7.902272701263428,4884
69,106x106,11236,3392,2,2,32.0,32,44,(0.16624982153460038+0j),0.16624982153460038,6.489398956298828,4685
70,107x107,11449,8667,2,2,81.0,81,90,(0.07819636927429877+0.040587164181866475j),0.08810215697704728,29.82145929336548,8965
71,107x107,11449,8025,2,2,75.0,75,86,(0.09052879297586923+0j),0.09052879297586923,28.2646918296814,8971
72,107x107,11449,7490,2,2,70.0,70,82,(0.08705596672258306+0j),0.08705596672258306,25.52647566795349,8356
73,107x107,11449,6955,2,2,65.0,65,75,(0.10201445262873998+0.0015862590833381277j),0.10202678453730132,22.01005887985229,8023
74,107x107,11449,6313,2,2,59.0,59,74,(0.11750885651496863+0j),0.11750885651496863,17.23150324821472,6954
75,107x107,11449,5778,2,2,54.0,54,65,(0.11008347320276109+0j),0.11008347320276109,13.541391611099243,5925
76,107x107,11449,5243,2,2,49.0,49,59,(0.14431648475803982+0j),0.14431648475803982,12.379616975784302,5923
77,107x107,11449,4601,2,2,43.0,43,55,(0.14205886917458985+0j),0.14205886917458985,9.502452850341797,5193
78,107x107,11449,4066,2,2,38.0,38,50,(0.1530646717744956+0j),0.1530646717744956,8.262577295303345,5013
79,107x107,11449,3531,2,2,33.0,33,45,(0.16660631316973454+0j),0.16660631316973454,6.249926567077637,4360
80,108x108,11664,8748,2,2,81.0,81,92,(0.08381885574246224+0.01343225595713449j),0.08488831532121291,31.713976621627808,9379
81,108x108,11664,8208,2,2,76.0,76,90,(0.08905122571729207+0.022636742644891388j),0.09188331142989539,28.349373817443848,8896
82,108x108,11664,7668,2,2,71.0,71,83,(0.08481043818237695+0j),0.08481043818237695,25.1934621334076,8449
83,108x108,11664,7020,2,2,65.0,65,78,(0.11525050256178673+0.020910055832389765j),0.11713201430718277,18.84516787528992,6869
84,108x108,11664,6480,2,2,60.0,60,71,(0.11175400040121494+0j),0.11175400040121494,16.901383876800537,6561
85,108x108,11664,5940,2,2,55.0,55,70,(0.11341698474306394+0j),0.11341698474306394,17.489760875701904,7050
86,108x108,11664,5292,2,2,49.0,49,61,(0.1283933573045644+0j),0.1283933573045644,12.212668180465698,5727
87,108x108,11664,4752,2,2,44.0,44,54,(0.1504621164437425+0.023355633924812862j),0.15226402766497474,10.534651279449465,5497
88,108x108,11664,4104,2,2,38.0,38,50,(0.15983126915808116+0.055460695864154246j),0.16918015068683204,7.91129994392395,4735
89,108x108,11664,3564,2,2,33.0,33,44,(0.1669350699576981+0j),0.1669350699576981,6.575353622436523,4467
90,109x109,11881,8938,2,2,82.0,82,91,(0.07979728107159634+0.020987149343299972j),0.08251100838056291,32.68461012840271,9445
