,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,convergence_speed,convergence_iterations
73,107x107,11449,214,9,7,2.0,3,2,(1.366270505156536+0j),0.11528897285461426,790
74,107x107,11449,212,10,8,1.9813084112149533,3,2,(1.3654292740788012+0.22749426979907958j),0.11940598487854004,825
75,107x107,11449,214,10,8,2.0,3,2,(1.3777429791595963+0j),0.11557412147521973,788
76,107x107,11449,211,10,8,1.97196261682243,3,2,(1.4368638212106206+0.10731281481855318j),0.11668920516967773,783
77,107x107,11449,213,10,8,1.9906542056074767,3,2,(1.3970443018665888+0.28143984434236025j),0.12183451652526855,825
78,107x107,11449,213,10,8,1.9906542056074767,3,2,(1.2980293450125404+0.5019429177741215j),0.12382173538208008,833
79,107x107,11449,213,10,8,1.9906542056074767,3,2,(1.3143441500116024+0.25010853450071646j),0.11433601379394531,821
80,108x108,11664,215,9,8,1.9907407407407407,3,2,(1.323845844457851+0j),0.12470531463623047,844
81,108x108,11664,213,11,7,1.9722222222222223,3,2,(1.2867069887674938+0.04890194611256746j),0.1237640380859375,807
82,108x108,11664,215,9,8,1.9907407407407407,3,2,(1.3347718075145094+0j),0.1251842975616455,791
83,108x108,11664,214,10,8,1.9814814814814814,3,2,(1.367846067934239+0j),0.12639069557189941,804
84,108x108,11664,216,9,7,2.0,3,2,(1.3440354882104257+0j),0.12729573249816895,809
85,108x108,11664,215,11,8,1.9907407407407407,3,2,(1.3926467398232356+0.4138999808157144j),0.12484860420227051,808
86,108x108,11664,216,10,8,2.0,3,2,(1.5049946536585894+0j),0.12511444091796875,820
87,108x108,11664,215,10,8,1.9907407407407407,3,2,(1.4430448919048828+0j),0.12470412254333496,821
88,108x108,11664,216,10,8,2.0,3,2,(1.4970425618360101+0j),0.12765955924987793,853
89,108x108,11664,214,10,8,1.9814814814814814,3,2,(1.3284070994369195+0.030801943198014402j),0.12071990966796875,835
90,109x109,11881,218,10,8,2.0,3,2,(1.3783285723669318+0.1318313656422841j),0.11863112449645996,807
91,109x109,11881,217,11,8,1.9908256880733946,3,2,(1.4882188058822736+0.10539320736416295j),0.11472344398498535,801
92,109x109,11881,218,9,8,2.0,3,2,(1.3395579198143162+0j),0.11174941062927246,776
