,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle,convergence_speed
31,103x103,10609,7519,2,2,73.0,73.0,73,85,(0.08714033066197133+0j),26.608495235443115
32,103x103,10609,6901,2,2,67.0,67.0,67,80,(0.0994125938427459+0.032713620277479066j),20.726505517959595
33,103x103,10609,6386,2,2,62.0,62.0,62,72,(0.10617496009434804+0.016514312724195977j),17.87425947189331
34,103x103,10609,5871,2,2,57.0,57.0,57,73,(0.10983329919174006+0.009217594952533454j),16.652289867401123
35,103x103,10609,5356,2,2,52.0,52.0,52,62,(0.11580140765336812+0.027707292334626116j),13.872101306915283
36,103x103,10609,4841,2,2,47.0,47.0,47,62,(0.13465811132011887+0.03142717185426072j),11.710978984832764
37,103x103,10609,4326,2,2,42.0,42.0,42,56,(0.1568434935829999+0j),11.203920602798462
38,103x103,10609,3811,2,2,37.0,37.0,37,52,(0.1614271771516458+0j),8.589909791946411
39,103x103,10609,3193,2,2,31.0,31.0,31,42,(0.17111600451471193+0.031600008228158956j),5.774236440658569
40,104x104,10816,8112,2,2,78.0,78.0,78,92,(0.08690549014906992+0j),31.540489673614502
41,104x104,10816,7592,2,2,73.0,73.0,73,82,(0.08580663126691601+0.006826002733606449j),26.62387251853943
42,104x104,10816,7072,2,2,68.0,68.0,68,80,(0.10110580158919964+0.013207142185876018j),22.819445610046387
43,104x104,10816,6552,2,2,63.0,63.0,63,77,(0.10097397799576016+0j),20.91274666786194
44,104x104,10816,6032,2,2,58.0,58.0,58,70,(0.12172273415376345+0j),16.612873315811157
45,104x104,10816,5512,2,2,53.0,53.0,53,65,(0.13225093808492502+0j),13.277059555053711
46,104x104,10816,4888,2,2,47.0,47.0,47,64,(0.1235567441773941+0.045128454478017714j),11.655112028121948
47,104x104,10816,4368,2,2,42.0,42.0,42,56,(0.14998424012401118+0j),9.693423509597778
48,104x104,10816,3848,2,2,37.0,37.0,37,54,(0.17649399924933398+0j),6.8982226848602295
49,104x104,10816,3328,2,2,32.0,32.0,32,47,(0.17219370198904882+0j),6.259849548339844
50,105x105,11025,8295,2,2,79.0,79.0,79,87,(0.07787799556622468+0.02518061030409374j),29.35620355606079
51,105x105,11025,7770,2,2,74.0,74.0,74,84,(0.08923360101794912+0j),25.920958042144775
52,105x105,11025,7245,2,2,69.0,69.0,69,81,(0.10360255265105556+0j),23.01456904411316
53,105x105,11025,6615,2,2,63.0,63.0,63,77,(0.10074533979223543+0.03509617190697903j),19.715120315551758
54,105x105,11025,6090,2,2,58.0,58.0,58,70,(0.12297475693108223+0j),16.804166555404663
55,105x105,11025,5565,2,2,53.0,53.0,53,66,(0.11728928279054343+0j),14.665120601654053
56,105x105,11025,5040,2,2,48.0,48.0,48,63,(0.13366917467436082+0.016985761965812942j),13.125229835510254
57,105x105,11025,4410,2,2,42.0,42.0,42,55,(0.16606801704485094+0j),9.86719799041748
58,105x105,11025,3885,2,2,37.0,37.0,37,49,(0.14975976167385674+0j),8.281877517700195
59,105x105,11025,3360,3,2,32.0,32.0,32,44,(0.17387329118358366+0.0893561354560588j),6.174787282943726
60,106x106,11236,8480,2,2,80.0,80.0,80,88,(0.08718903828979316+0j),34.29788374900818
61,106x106,11236,7950,2,2,75.0,75.0,75,89,(0.08959685459873111+0j),25.510008811950684
62,106x106,11236,7314,2,2,69.0,69.0,69,78,(0.09708851876052911+0.012128504651291583j),25.27660870552063
63,106x106,11236,6784,2,2,64.0,64.0,64,80,(0.10263634656845227+0.009964219296632014j),19.030872583389282
64,106x106,11236,6254,2,2,59.0,59.0,59,73,(0.12613912583229528+0j),19.06093454360962
65,106x106,11236,5724,2,2,54.0,54.0,54,71,(0.11231525974604267+0j),16.110831260681152
66,106x106,11236,5088,2,2,48.0,48.0,48,59,(0.14697144257480232+0j),12.191661596298218
67,106x106,11236,4558,2,2,43.0,43.0,43,55,(0.1498841416784744+0j),10.272779941558838
68,106x106,11236,4028,2,2,38.0,38.0,38,51,(0.17558081012423615+0j),8.272928953170776
69,106x106,11236,3392,2,2,32.0,32.0,32,44,(0.16624982153460038+0j),6.875121593475342
70,107x107,11449,8667,2,2,81.0,81.0,81,90,(0.07819636927429877+0.040587164181866475j),32.95186805725098
71,107x107,11449,8025,2,2,75.0,75.0,75,86,(0.09052879297586923+0j),29.98352885246277
72,107x107,11449,7490,2,2,70.0,70.0,70,82,(0.08705596672258306+0j),29.74163007736206
73,107x107,11449,6955,2,2,65.0,65.0,65,75,(0.10201445262873998+0.0015862590833381277j),23.98947525024414
74,107x107,11449,6313,2,2,59.0,59.0,59,74,(0.11750885651496863+0j),17.91490411758423
75,107x107,11449,5778,2,2,54.0,54.0,54,65,(0.11008347320276109+0j),13.69512128829956
76,107x107,11449,5243,2,2,49.0,49.0,49,59,(0.14431648475803982+0j),12.507096529006958
77,107x107,11449,4601,2,2,43.0,43.0,43,55,(0.14205886917458985+0j),9.518063306808472
78,107x107,11449,4066,2,2,38.0,38.0,38,50,(0.1530646717744956+0j),8.2238290309906
79,107x107,11449,3531,2,2,33.0,33.0,33,45,(0.16660631316973454+0j),6.298777103424072
80,108x108,11664,8748,2,2,81.0,81.0,81,92,(0.08381885574246224+0.01343225595713449j),33.51193380355835
81,108x108,11664,8208,2,2,76.0,76.0,76,90,(0.08905122571729207+0.022636742644891388j),29.536091566085815
