,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
110,110x110,12100,848,5,3,7.709090909090909,8,15,(0.4542175080904433+0j),0.4542175080904433,0.0064241886138916016,13
111,110x110,12100,845,4,3,7.681818181818182,8,15,(0.3695871197396914+0.09541502962726096j),0.38170494751345846,0.00601649284362793,13
112,110x110,12100,856,4,3,7.781818181818182,8,15,(0.40274516651912823+0j),0.40274516651912823,0.006222724914550781,13
113,110x110,12100,841,4,3,7.6454545454545455,8,14,(0.4058683235921807+0.08078224579770561j),0.41382951481455266,0.005769968032836914,13
114,110x110,12100,846,4,3,7.6909090909090905,8,13,(0.40161305318239526+0.09352854487233281j),0.41235983460131204,0.005583524703979492,13
115,110x110,12100,852,4,3,7.745454545454545,8,16,(0.3762110462901118+0.07561930047115095j),0.38373562507857784,0.005014657974243164,13
116,110x110,12100,849,4,3,7.718181818181818,8,14,(0.36772223266348825+0.11429221150085077j),0.38507447332272726,0.006460428237915039,14
117,110x110,12100,852,4,3,7.745454545454545,8,14,(0.42051416424439286+0.06311209231249353j),0.4252238216824416,0.005010843276977539,13
118,110x110,12100,843,4,3,7.663636363636364,8,15,(0.37704611049277625+0.07981236234047359j),0.38540080775745383,0.0039997100830078125,12
119,110x110,12100,854,4,3,7.763636363636364,8,16,(0.438915313324939+0j),0.438915313324939,0.005521535873413086,13
120,111x111,12321,762,4,3,6.864864864864865,7,12,(0.4297657091276286+0.0956897948015474j),0.4402897927174053,0.005011558532714844,14
121,111x111,12321,753,5,4,6.783783783783784,7,13,(0.45320811826121077+0j),0.45320811826121077,0.005001068115234375,14
122,111x111,12321,762,4,3,6.864864864864865,7,13,(0.3950756763444331+0j),0.3950756763444331,0.005019426345825195,14
123,111x111,12321,755,4,4,6.801801801801802,7,14,(0.4769570641757692+0j),0.4769570641757692,0.005265951156616211,14
124,111x111,12321,761,5,3,6.8558558558558556,7,14,(0.4541331133203289+0j),0.4541331133203289,0.006013154983520508,14
125,111x111,12321,743,4,4,6.693693693693693,7,15,(0.483066991063908+0j),0.483066991063908,0.006014823913574219,15
126,111x111,12321,755,5,4,6.801801801801802,7,13,(0.4269484430967814+0.0872845622115281j),0.4357792650680201,0.005506277084350586,14
127,111x111,12321,757,5,4,6.81981981981982,7,12,(0.4469827993897024+0.06342768217016341j),0.45146062266352116,0.0049991607666015625,14
128,111x111,12321,757,5,4,6.81981981981982,7,14,(0.3912953536170628+0j),0.3912953536170628,0.0045015811920166016,14
129,111x111,12321,756,5,4,6.8108108108108105,7,15,(0.4537254451951368+0j),0.4537254451951368,0.004415273666381836,14
130,112x112,12544,223,14,10,1.9910714285714286,2,4,(0.8261071749500756+0j),0.8261071749500756,0.009018421173095703,65
131,112x112,12544,224,15,10,2.0,2,5,(0.837892624489241+0j),0.837892624489241,0.008533716201782227,51
132,112x112,12544,224,14,9,2.0,2,5,(0.7790585272851663+0j),0.7790585272851663,0.008956193923950195,45
133,112x112,12544,223,15,9,1.9910714285714286,2,8,(0.8833426613374965+0j),0.8833426613374965,0.015387296676635742,74
