,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
81,108x108,11664,2891,3,2,26.76851851851852,26.76851851851852,27,38,(0.1977628683693699+0.018519506415195768j)
82,108x108,11664,2890,3,2,26.75925925925926,26.75925925925926,27,39,(0.195395612067034+0j)
83,108x108,11664,2885,3,2,26.712962962962962,26.712962962962962,27,41,(0.21441849137473157+0j)
84,108x108,11664,2891,3,2,26.76851851851852,26.76851851851852,27,36,(0.20288032347156654+0j)
85,108x108,11664,2893,3,2,26.787037037037038,26.787037037037038,27,38,(0.191781579169213+0.01563048739956354j)
86,108x108,11664,2888,3,2,26.74074074074074,26.74074074074074,27,38,(0.22442303676948325+0j)
87,108x108,11664,2882,3,2,26.685185185185187,26.685185185185187,27,40,(0.19573305622980558+0.03449712587830954j)
88,108x108,11664,2890,3,2,26.75925925925926,26.75925925925926,27,36,(0.20470530168144085+0j)
89,108x108,11664,2892,3,2,26.77777777777778,26.77777777777778,27,37,(0.20966321027644916+0j)
90,109x109,11881,3019,3,2,27.69724770642202,27.69724770642202,28,40,(0.21352220399453156+0j)
91,109x109,11881,3018,3,2,27.68807339449541,27.68807339449541,28,41,(0.17552993053893795+0.06743023875806808j)
92,109x109,11881,3026,3,2,27.761467889908257,27.761467889908257,28,40,(0.1969444210184989+0.05331460920458755j)
93,109x109,11881,3022,3,2,27.724770642201836,27.724770642201836,28,45,(0.18838807720944767+0.0135268081642957j)
94,109x109,11881,3018,3,2,27.68807339449541,27.68807339449541,28,39,(0.19387643715072517+0j)
95,109x109,11881,3022,2,2,27.724770642201836,27.724770642201836,28,40,(0.19484465408377666+0.00827152291829305j)
96,109x109,11881,3026,3,2,27.761467889908257,27.761467889908257,28,38,(0.19287665685538333+0j)
97,109x109,11881,3023,3,2,27.73394495412844,27.73394495412844,28,38,(0.19561627656937255+0.07231669406760008j)
98,109x109,11881,3034,3,2,27.834862385321102,27.834862385321102,28,38,(0.1868406746870121+0.07827531187040836j)
99,109x109,11881,3014,3,2,27.65137614678899,27.65137614678899,28,36,(0.1936219234092393+0j)
100,10x10,100,30,4,3,3.0,3.0,3,7,(0.35389913233394316+0j)
101,10x10,100,30,4,3,3.0,3.0,3,6,(0.1831054590479983+0.2965609350302769j)
102,10x10,100,30,4,3,3.0,3.0,3,4,(0.39443740757517626+0.44302674489982585j)
103,10x10,100,29,4,3,2.9,2.9,3,7,(0.5658295981055173+0j)
104,10x10,100,29,5,3,2.9,2.9,3,6,(0.39126868354451627+0.08156136287501706j)
105,10x10,100,30,5,3,3.0,3.0,3,6,(0.642203935448136+0j)
106,10x10,100,30,4,3,3.0,3.0,3,6,(0.5692867557677549+0j)
107,10x10,100,29,4,3,2.9,2.9,3,5,(0.5274885985227119+0j)
108,10x10,100,30,6,3,3.0,3.0,3,6,(0.8879086131683119+0j)
109,10x10,100,29,4,3,2.9,2.9,3,4,(0.5457806525583413+0.28759992791227085j)
