,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
0,3x3,9,6,2,2,2.0,2.0,2,2,(0.32546511627906977+0.15515301507045107j)
1,3x3,9,6,2,2,2.0,2.0,2,2,(0.8061530392116254+0j)
2,3x3,9,6,2,2,2.0,2.0,2,3,(-0.006689429341022858+0j)
3,3x3,9,6,2,2,2.0,2.0,2,3,(0.11122613422261274+0j)
4,3x3,9,6,2,2,2.0,2.0,2,3,(0.02321367521367515+0.21786359054806012j)
5,3x3,9,6,2,2,2.0,2.0,2,2,(0.059775596317478155+0.4687093881960828j)
6,3x3,9,6,2,2,2.0,2.0,2,3,(0.1082329798715231+0j)
7,3x3,9,6,2,2,2.0,2.0,2,2,(0.15180600566105001+0j)
8,3x3,9,6,2,2,2.0,2.0,2,3,(0.2381306479740938+0j)
9,3x3,9,6,2,2,2.0,2.0,2,2,(-0.5000000000000003+0.06077206704140643j)
10,4x4,16,8,3,2,2.0,2.0,2,3,(0.9246002022982167+0j)
11,4x4,16,8,3,2,2.0,2.0,2,3,(0.6478287742088978+0j)
12,4x4,16,8,3,2,2.0,2.0,2,3,(0.18622617468476677+0.46193491294634886j)
13,4x4,16,8,3,2,2.0,2.0,2,3,(0.2152962474268433+0.5742263316576176j)
14,4x4,16,8,3,2,2.0,2.0,2,2,(0.6415375107191136+0j)
15,4x4,16,8,3,2,2.0,2.0,2,3,(0.2700553758554433+0j)
16,4x4,16,8,3,2,2.0,2.0,2,3,(0.42343263730783093+0j)
17,4x4,16,8,2,2,2.0,2.0,2,3,(7.820677063772284e-17+0j)
18,4x4,16,8,3,2,2.0,2.0,2,4,(0.24627969262668864+0j)
19,4x4,16,8,2,2,2.0,2.0,2,3,(-0.010006315977720368+0.0922948771874277j)
20,5x5,25,15,3,2,3.0,3.0,3,4,(0.37728256352277423+0.36497279448385994j)
21,5x5,25,15,2,2,3.0,3.0,3,4,(0.43709166034564506+0.14899184549798555j)
22,5x5,25,15,3,2,3.0,3.0,3,4,(0.5417495499069069+0.19561358597792028j)
23,5x5,25,15,2,2,3.0,3.0,3,4,(0.27248824940406763+0j)
24,5x5,25,15,2,2,3.0,3.0,3,5,(0.5901493251074589+0j)
25,5x5,25,15,3,2,3.0,3.0,3,4,(0.3009937776759958+0.14997677170753934j)
26,5x5,25,15,2,2,3.0,3.0,3,4,(0.13298395581916606+0.25614923146615737j)
27,5x5,25,15,2,2,3.0,3.0,3,5,(0.6229593837834723+0j)
28,5x5,25,15,3,2,3.0,3.0,3,4,(0.3161804643946721+0j)
29,5x5,25,15,3,2,3.0,3.0,3,5,(0.6227640165727422+0j)
30,6x6,36,18,3,2,3.0,3.0,3,4,(0.3699958066653063+0j)
31,6x6,36,18,3,2,3.0,3.0,3,5,(0.4376799752674665+0.38699067292559697j)
32,6x6,36,18,3,2,3.0,3.0,3,5,(0.4388855320417001+0j)
33,6x6,36,18,3,2,3.0,3.0,3,6,(0.3913677854819749+0j)
34,6x6,36,18,3,2,3.0,3.0,3,4,(0.3768748328390098+0.03230459527105541j)
35,6x6,36,18,3,2,3.0,3.0,3,5,(0.36533410564788765+0j)
36,6x6,36,18,2,2,3.0,3.0,3,5,(0.1684341141299892+0j)
37,6x6,36,18,2,2,3.0,3.0,3,5,(0.0015094675974254232+0j)
38,6x6,36,18,3,2,3.0,3.0,3,6,(0.32069968109151853+0j)
39,6x6,36,18,3,2,3.0,3.0,3,4,(0.5499371966846107+0j)
40,7x7,49,28,2,2,4.0,4.0,4,5,(0.07720117888319747+0.19404699780664564j)
41,7x7,49,28,3,2,4.0,4.0,4,6,(0.48446881420149196+0j)
42,7x7,49,28,2,2,4.0,4.0,4,6,(0.7460890504761634+0j)
43,7x7,49,28,3,2,4.0,4.0,4,6,(0.09358536218658496+0.1931143705375697j)
44,7x7,49,28,2,2,4.0,4.0,4,6,(0.33703503095801346+0j)
45,7x7,49,28,3,2,4.0,4.0,4,6,(0.1732730798411607+0.36221960522729435j)
46,7x7,49,28,3,2,4.0,4.0,4,6,(0.17288712077949775+0.161235258797442j)
47,7x7,49,28,3,2,4.0,4.0,4,5,(0.46703025815914045+0j)
48,7x7,49,28,2,2,4.0,4.0,4,7,(0.22867726368367283+0j)
49,7x7,49,28,2,2,4.0,4.0,4,6,(0.17808724698136527+0j)
50,8x8,64,32,2,2,4.0,4.0,4,5,(0.3526989575829388+0.09713853166016347j)
51,8x8,64,32,3,2,4.0,4.0,4,7,(0.21881390862867023+0.2755397786297158j)
52,8x8,64,32,3,2,4.0,4.0,4,6,(0.40367606801163464+0j)
53,8x8,64,32,3,2,4.0,4.0,4,6,(0.465143011815243+0j)
54,8x8,64,32,2,2,4.0,4.0,4,5,(0.2689516200904958+0.0887920688664588j)
55,8x8,64,32,3,2,4.0,4.0,4,7,(0.31642277749649983+0j)
56,8x8,64,32,2,2,4.0,4.0,4,7,(0.4132663935711528+0j)
57,8x8,64,32,2,2,4.0,4.0,4,6,(0.25052494306557005+0.07407744951139596j)
58,8x8,64,32,2,2,4.0,4.0,4,5,(0.420729148041403+0j)
59,8x8,64,32,3,2,4.0,4.0,4,6,(0.4000107188703259+0j)
60,9x9,81,45,2,2,5.0,5.0,5,8,(0.3565690374351402+0j)
61,9x9,81,45,3,2,5.0,5.0,5,8,(0.4064784664092315+0j)
62,9x9,81,45,2,2,5.0,5.0,5,7,(0.438126745866005+0j)
63,9x9,81,45,2,2,5.0,5.0,5,7,(0.2994621085932822+0j)
64,9x9,81,45,2,2,5.0,5.0,5,7,(0.2971139279863122+0.11358767736937693j)
65,9x9,81,45,3,2,5.0,5.0,5,7,(0.35859459223674023+0j)
66,9x9,81,45,2,2,5.0,5.0,5,8,(0.22961207403538583+0.08578165590118751j)
67,9x9,81,45,2,2,5.0,5.0,5,6,(0.33296050819568856+0.08014655784961608j)
68,9x9,81,45,2,2,5.0,5.0,5,7,(0.14936351306592238+0j)
69,9x9,81,45,2,2,5.0,5.0,5,6,(0.20851566314511924+0j)
70,10x10,100,50,3,2,5.0,5.0,5,9,(0.1756937123144472+0.14638251933026034j)
71,10x10,100,50,4,2,5.0,5.0,5,8,(0.4402975647712562+0j)
72,10x10,100,50,3,2,5.0,5.0,5,9,(0.39143681265902497+0j)
73,10x10,100,50,3,2,5.0,5.0,5,7,(0.38880660230232056+0j)
74,10x10,100,50,3,2,5.0,5.0,5,9,(0.22348199801834945+0.037208433017511054j)
75,10x10,100,50,3,2,5.0,5.0,5,8,(0.28303025321466624+0j)
76,10x10,100,50,3,2,5.0,5.0,5,8,(0.27953121204660447+0j)
77,10x10,100,50,3,2,5.0,5.0,5,7,(0.34479661023945174+0.33239276459180833j)
78,10x10,100,50,3,2,5.0,5.0,5,8,(0.38611904198103825+0j)
79,10x10,100,50,3,2,5.0,5.0,5,7,(0.5611005830228983+0j)
80,11x11,121,66,3,2,6.0,6.0,6,9,(0.2261466618801945+0.20249731191123327j)
81,11x11,121,66,2,2,6.0,6.0,6,9,(0.26748489714828244+0.08770580426781908j)
82,11x11,121,66,3,2,6.0,6.0,6,10,(0.30003842963719085+0j)
83,11x11,121,66,3,2,6.0,6.0,6,9,(0.321896656871171+0j)
84,11x11,121,66,3,2,6.0,6.0,6,9,(0.1915219104599456+0.25764917446658614j)
85,11x11,121,66,2,2,6.0,6.0,6,8,(0.39418790499774364+0j)
86,11x11,121,66,3,2,6.0,6.0,6,9,(0.43886871449767484+0j)
87,11x11,121,66,3,2,6.0,6.0,6,9,(0.29644379459307846+0.07941459437078426j)
88,11x11,121,66,2,2,6.0,6.0,6,8,(0.3899660326307427+0j)
89,11x11,121,66,2,2,6.0,6.0,6,9,(0.40161757900792605+0j)
90,12x12,144,72,2,2,6.0,6.0,6,9,(0.34759758496039783+0.11104844892427371j)
91,12x12,144,72,2,2,6.0,6.0,6,9,(0.300957106289155+0j)
92,12x12,144,72,3,2,6.0,6.0,6,8,(0.2932720993632322+0.1276657038410318j)
93,12x12,144,72,3,2,6.0,6.0,6,9,(0.3451078630628716+0j)
