,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
0,100x100,10000,7500,2,2,75.0,75,83,(0.09317972634710825+0j),0.09317972634710825,0.0181884765625,5
1,100x100,10000,7000,2,2,70.0,70,80,(0.08163826896278695+0.02404247900416878j),0.08510492204277165,0.027072668075561523,5
2,100x100,10000,6500,2,2,65.0,65,76,(0.10219809020061432+0.023836336277274408j),0.10494103376552096,0.011284828186035156,5
3,100x100,10000,6000,2,2,60.0,60,71,(0.10434344659916461+0.014502849996511052j),0.10534651159964444,0.018848180770874023,6
4,100x100,10000,5600,2,2,56.0,56,66,(0.11205593599002632+0j),0.11205593599002632,0.023259878158569336,6
5,100x100,10000,5100,2,2,51.0,51,60,(0.11278164926651+0.0031496717513628983j),0.11282562139609695,0.01463770866394043,6
6,100x100,10000,4600,2,2,46.0,46,64,(0.12509867198058638+0.07190926949729963j),0.14429352296947226,0.00902414321899414,6
7,100x100,10000,4000,2,2,40.0,40,54,(0.13578653040363198+0j),0.13578653040363198,0.01179647445678711,6
8,100x100,10000,3500,2,2,35.0,35,47,(0.18200595399911104+0j),0.18200595399911104,0.016424179077148438,7
9,100x100,10000,3000,2,2,30.0,30,41,(0.18707980314691275+0.042868766998414236j),0.19192859070355298,0.012609243392944336,7
10,101x101,10201,7676,2,2,76.0,76,87,(0.08088015938121382+0j),0.08088015938121382,0.019292831420898438,5
11,101x101,10201,7171,2,2,71.0,71,84,(0.0863170671770809+0.026050659233793124j),0.09016248073654533,0.02225947380065918,5
12,101x101,10201,6666,2,2,66.0,66,75,(0.09480428160550228+0.052264740830604034j),0.10825643142476842,0.04480242729187012,5
13,101x101,10201,6161,2,2,61.0,61,71,(0.10198451992716816+0j),0.10198451992716816,0.03518223762512207,5
14,101x101,10201,5656,2,2,56.0,56,65,(0.13191030363241063+0j),0.13191030363241063,0.019811630249023438,6
15,101x101,10201,5151,2,2,51.0,51,65,(0.1272848403455484+0j),0.1272848403455484,0.022928714752197266,6
16,101x101,10201,4646,2,2,46.0,46,60,(0.12440241698629306+0.04961269992218781j),0.13393050939050666,0.010068655014038086,6
17,101x101,10201,4141,2,2,41.0,41,57,(0.1447659769205987+0.008031563742281806j),0.14498859986192586,0.018167495727539062,6
18,101x101,10201,3636,2,2,36.0,36,46,(0.16752089681205878+0.0058304930176110645j),0.167622330008698,0.009032726287841797,7
19,101x101,10201,3131,2,2,31.0,31,43,(0.19473141910338024+0j),0.19473141910338024,0.02783513069152832,7
20,102x102,10404,7854,2,2,77.0,77,86,(0.08138701676879564+0.01345056336209354j),0.08249099437685253,0.017615795135498047,5
21,102x102,10404,7344,2,2,72.0,72,83,(0.08924105809646661+0j),0.08924105809646661,0.01925206184387207,5
22,102x102,10404,6834,2,2,67.0,67,79,(0.09855895981789725+0j),0.09855895981789725,0.017869949340820312,5
23,102x102,10404,6324,2,2,62.0,62,74,(0.09819920270412061+0.020384759579891804j),0.10029268086383453,0.019156694412231445,6
24,102x102,10404,5814,2,2,57.0,57,69,(0.12847200786564153+0.03888220162100483j),0.1342269809238289,0.015987634658813477,6
25,102x102,10404,5304,2,2,52.0,52,64,(0.12455495074995933+0j),0.12455495074995933,0.02033686637878418,6
26,102x102,10404,4692,2,2,46.0,46,61,(0.12679746251612817+0.004354849762907543j),0.12687222397745862,0.018648862838745117,6
27,102x102,10404,4182,2,2,41.0,41,55,(0.15292022742571387+0.03026990977280529j),0.1558873419928181,0.015707015991210938,7
28,102x102,10404,3672,2,2,36.0,36,50,(0.1603833023409133+0.01870975387470003j),0.16147092171604355,0.012899160385131836,7
29,102x102,10404,3162,3,2,31.0,31,46,(0.1730755649305203+0j),0.1730755649305203,0.015316486358642578,7
30,103x103,10609,8034,2,2,78.0,78,91,(0.08321116770513327+0j),0.08321116770513327,0.022082805633544922,5
31,103x103,10609,7519,2,2,73.0,73,85,(0.08714033066197187+0j),0.08714033066197187,0.02017068862915039,5
32,103x103,10609,6901,2,2,67.0,67,80,(0.09941259384274609+0.032713620277479316j),0.10465679512674704,0.023577451705932617,6
33,103x103,10609,6386,2,2,62.0,62,72,(0.1061749600943486+0.016514312724196026j),0.10745159224408478,0.03904604911804199,6
34,103x103,10609,5871,2,2,57.0,57,73,(0.10983329919174026+0.009217594952533504j),0.11021940694837412,0.022475242614746094,6
35,103x103,10609,5356,2,2,52.0,52,62,(0.1158014076533684+0.02770729233462628j),0.11906997968849263,0.024855613708496094,6
36,103x103,10609,4841,2,2,47.0,47,62,(0.13465811132011768+0.03142717185426047j),0.13827680237501308,0.019995450973510742,6
37,103x103,10609,4326,2,2,42.0,42,56,(0.1568434935829998+0j),0.1568434935829998,0.017409563064575195,6
38,103x103,10609,3811,2,2,37.0,37,52,(0.16142717715164576+0j),0.16142717715164576,0.015272140502929688,7
39,103x103,10609,3193,2,2,31.0,31,42,(0.17111600451471135+0.031600008228159004j),0.17400933170694735,0.012035846710205078,7
40,104x104,10816,8112,2,2,78.0,78,92,(0.08690549014906926+0j),0.08690549014906926,0.04004931449890137,5
41,104x104,10816,7592,2,2,73.0,73,82,(0.08580663126691615+0.006826002733606258j),0.08607771071941744,0.026816129684448242,5
42,104x104,10816,7072,2,2,68.0,68,80,(0.10110580158919945+0.013207142185876054j),0.10196475724343443,0.02280569076538086,5
43,104x104,10816,6552,2,2,63.0,63,77,(0.10097397799576052+0j),0.10097397799576052,0.02224564552307129,5
44,104x104,10816,6032,2,2,58.0,58,70,(0.12172273415376378+0j),0.12172273415376378,0.03876328468322754,6
45,104x104,10816,5512,2,2,53.0,53,65,(0.13225093808492483+0j),0.13225093808492483,0.022175073623657227,6
46,104x104,10816,4888,2,2,47.0,47,64,(0.1235567441773943+0.04512845447801746j),0.1315402844580038,0.007523536682128906,6
47,104x104,10816,4368,2,2,42.0,42,56,(0.14998424012401135+0j),0.14998424012401135,0.01885223388671875,6
48,104x104,10816,3848,2,2,37.0,37,54,(0.17649399924933534+0j),0.17649399924933534,0.020120620727539062,7
49,104x104,10816,3328,2,2,32.0,32,47,(0.1721937019890491+0j),0.1721937019890491,0.011556148529052734,7
50,105x105,11025,8295,2,2,79.0,79,87,(0.07787799556622474+0.025180610304093833j),0.08184769592786077,0.025112628936767578,5
51,105x105,11025,7770,2,2,74.0,74,84,(0.08923360101794879+0j),0.08923360101794879,0.01949167251586914,5
52,105x105,11025,7245,2,2,69.0,69,81,(0.10360255265105583+0j),0.10360255265105583,0.022317171096801758,5
53,105x105,11025,6615,2,2,63.0,63,77,(0.10074533979223499+0.035096171906979036j),0.10668347937884812,0.020829439163208008,5
54,105x105,11025,6090,2,2,58.0,58,70,(0.12297475693108242+0j),0.12297475693108242,0.01589059829711914,6
55,105x105,11025,5565,2,2,53.0,53,66,(0.11728928279054275+0j),0.11728928279054275,0.026459217071533203,6
56,105x105,11025,5040,2,2,48.0,48,63,(0.13366917467436126+0.01698576196581306j),0.13474406987947246,0.013014078140258789,6
57,105x105,11025,4410,2,2,42.0,42,55,(0.16606801704485125+0j),0.16606801704485125,0.012584447860717773,6
58,105x105,11025,3885,2,2,37.0,37,49,(0.14975976167385668+0j),0.14975976167385668,0.020815610885620117,7
59,105x105,11025,3360,3,2,32.0,32,44,(0.17387329118358463+0.08935613545605947j),0.19549025635732656,0.020343542098999023,7
60,106x106,11236,8480,2,2,80.0,80,88,(0.08718903828979317+0j),0.08718903828979317,0.03702425956726074,5
